Error in file: 10012_LDTest__Images_126_0050.txt, line: 1 - x_min: 0.005357000000000001, y_min: -5.000000000143778e-07, x_max: 0.616071, y_max: 0.6104164999999999
Error in file: 3643_Kvasir-SEG__images_cju6v4szov55u0871qmqz3v8n.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: 0.0, x_max: 0.0027025, y_max: 0.001912
Error in file: 3645_Kvasir-SEG__images_cju6v6g6kvdw007552x6mb0po.txt, line: 1 - x_min: 0.32807050000000004, y_min: 0.5792455, x_max: 0.8070175, y_max: 1.0000005
Error in file: 3645_Kvasir-SEG__images_cju6v6g6kvdw007552x6mb0po.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001754, y_max: 0.0018865000000000002
Error in file: 3668_Kvasir-SEG__images_cju6z1bzbwfq50817b2alatvr.txt, line: 1 - x_min: 0.316294, y_min: 0.23034749999999998, x_max: 1.0, y_max: 1.0000005
Error in file: 3709_Kvasir-SEG__images_cju7b3f5h1sm40755i572jden.txt, line: 1 - x_min: 0.38746, y_min: 0.6158195, x_max: 0.9582, y_max: 1.0000005
Error in file: 3670_Kvasir-SEG__images_cju6z9a9kwsl007552s49rx6i.txt, line: 1 - x_min: 0.20417949999999999, y_min: 0.5928035, x_max: 0.6543405, y_max: 1.0000005
Error in file: 3724_Kvasir-SEG__images_cju7csvlb22fr0850lvm45n3x.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001608, y_max: 0.0018865000000000002
Error in file: 3732_Kvasir-SEG__images_cju7d5m0p23kn09871rk7pu3v.txt, line: 1 - x_min: 0.269982, y_min: 0.05084749999999999, x_max: 1.0, y_max: 1.0000005
Error in file: 3768_Kvasir-SEG__images_cju7evxt12m730987rxivne3x.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: 0.0, x_max: 0.0019605, y_max: 0.001894
Error in file: 3776_Kvasir-SEG__images_cju7f900s2o0k08175gl1giid.txt, line: 1 - x_min: 0.00803899999999999, y_min: -5.000000000143778e-07, x_max: 0.448553, y_max: 0.6975425
Error in file: 3778_Kvasir-SEG__images_cju7fazv92ywx0755xov2erga.txt, line: 1 - x_min: 0.160331, y_min: 0.33712149999999996, x_max: 0.793389, y_max: 1.0000005
Error in file: 3778_Kvasir-SEG__images_cju7fazv92ywx0755xov2erga.txt, line: 2 - x_min: -4.999999999999579e-07, y_min: 0.0, x_max: 0.0016524999999999999, y_max: 0.001894
Error in file: 3783_Kvasir-SEG__images_cju7flevb2wii08188otgs9p2.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: 0.0, x_max: 0.0016665, y_max: 0.001894
Error in file: 3789_Kvasir-SEG__images_cju7g7ba42z310987bqzbi2bq.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: -4.999999999999579e-07, x_max: 0.0017005, y_max: 0.0018865000000000002
Error in file: 3798_Kvasir-SEG__images_cju83u9ftk3ni0987qnhlcinv.txt, line: 2 - x_min: 0.0, y_min: -5.000000000000664e-07, x_max: 0.001736, y_max: 0.0021005
Error in file: 3810_Kvasir-SEG__images_cju84dsvaklpx098750hp83x4.txt, line: 1 - x_min: 0.07894749999999995, y_min: 0.1415095, x_max: 0.8491225, y_max: 1.0000005
Error in file: 3810_Kvasir-SEG__images_cju84dsvaklpx098750hp83x4.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001754, y_max: 0.0018865000000000002
Error in file: 3814_Kvasir-SEG__images_cju8567gdlcbq0801dwwyo2jt.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001754, y_max: 0.0018865000000000002
Error in file: 3816_Kvasir-SEG__images_cju858eswlepn0871pzvdrhj1.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001754, y_max: 0.0018865000000000002
Error in file: 3821_Kvasir-SEG__images_cju85je7vlht70817c9jcjwi4.txt, line: 1 - x_min: 0.0049180000000000335, y_min: 0.21661749999999996, x_max: 0.6155740000000001, y_max: 1.0000005
Error in file: 3823_Kvasir-SEG__images_cju85plp7lmkw0850rx42jdpf.txt, line: 1 - x_min: 0.49328849999999996, y_min: -5.000000000143778e-07, x_max: 0.9999994999999999, y_max: 0.8924525000000001
Error in file: 3823_Kvasir-SEG__images_cju85plp7lmkw0850rx42jdpf.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001678, y_max: 0.0018865000000000002
Error in file: 3830_Kvasir-SEG__images_cju87vqa0ndwg0850onjdz7ol.txt, line: 2 - x_min: -5.000000000000664e-07, y_min: -4.999999999999579e-07, x_max: 0.0017985, y_max: 0.0018865000000000002
Error in file: 3840_Kvasir-SEG__images_cju88evxanv9r08176zkeovec.txt, line: 1 - x_min: 0.37543799999999994, y_min: -5.000000000143778e-07, x_max: 0.95614, y_max: 0.6830185
Error in file: 3844_Kvasir-SEG__images_cju88l66no10s0850rsda7ej1.txt, line: 2 - x_min: 5.000000000000664e-07, y_min: -4.999999999999579e-07, x_max: 0.0017515, y_max: 0.0018865000000000002
Error in file: 3854_Kvasir-SEG__images_cju8a1jtvpt9m081712iwkca7.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.000742, y_max: 0.0009345
Error in file: 3890_Kvasir-SEG__images_cju8buos5rz9b08715lfr0f4f.txt, line: 2 - x_min: 0.0, y_min: -4.999999999999579e-07, x_max: 0.001736, y_max: 0.0018865000000000002
Error in file: 39063_PolypsSet__train2019_Image_11116.txt, line: 1 - x_min: 0.627604, y_min: 0.6423615, x_max: 0.8541660000000001, y_max: 1.0000005
Error in file: 3916_Kvasir-SEG__images_cju8dic9mtppa0987swn23wbc.txt, line: 2 - x_min: -4.999999999999579e-07, y_min: 5.000000000000664e-07, x_max: 0.0016365, y_max: 0.0018835
Error in file: 39437_PolypsSet__train2019_Image_12941.txt, line: 1 - x_min: 0.7395835, y_min: 0.6041665, x_max: 1.0000005, y_max: 0.9999995
Error in file: 3962_KvasirCapsule-SEG__images_131368cc17e44240_28965.txt, line: 1 - x_min: 0.04761949999999998, y_min: 0.002976000000000034, x_max: 1.0000005, y_max: 1.0
Error in file: 40799_PolypsSet__train2019_Image_19493.txt, line: 1 - x_min: 0.7135419999999999, y_min: 0.4270835, x_max: 0.9999999999999999, y_max: 1.0000005
Error in file: 40892_PolypsSet__train2019_Image_19907.txt, line: 1 - x_min: 0.015202999999999994, y_min: 0.5129315, x_max: 0.407095, y_max: 1.0000005
Error in file: 4118_LDTest__Images_104_0126.txt, line: 1 - x_min: -4.999999999866223e-07, y_min: 0.10208350000000002, x_max: 0.29464250000000003, y_max: 0.5750005
Error in file: 45129_PolypsSet__test2019_Image_11_200.txt, line: 1 - x_min: 0.48897, y_min: 0.6116075, x_max: 0.987132, y_max: 1.0000005
Error in file: 45130_PolypsSet__test2019_Image_11_206.txt, line: 1 - x_min: 0.47426500000000005, y_min: 0.48660749999999997, x_max: 0.944853, y_max: 1.0000005
Error in file: 47829_PolypsSet__test2019_Image_4_261.txt, line: 1 - x_min: 0.3069855, y_min: 0.5200895, x_max: 0.8584565000000001, y_max: 1.0000005
Error in file: 48826_PolypsSet__train2019_Image_10044.txt, line: 1 - x_min: 0.1858105, y_min: 0.7521555, x_max: 0.6756755, y_max: 1.0000005
Error in file: 49179_PolypsSet__train2019_Image_1046.txt, line: 1 - x_min: 0.9007355, y_min: 0.4799105, x_max: 1.0000005, y_max: 0.7834814999999999
Error in file: 49674_PolypsSet__train2019_Image_1106.txt, line: 1 - x_min: 0.307433, y_min: 0.6056035, x_max: 0.606419, y_max: 1.0000005
Error in file: 52595_PolypsSet__train2019_Image_14512.txt, line: 1 - x_min: 0.3489585, y_min: 0.7986115, x_max: 0.7968755000000001, y_max: 1.0000005
Error in file: 55568_PolypsSet__train2019_Image_18058.txt, line: 1 - x_min: 0.7994795, y_min: 0.5659719999999999, x_max: 1.0000005, y_max: 1.0
Error in file: 56463_PolypsSet__train2019_Image_1915.txt, line: 1 - x_min: 0.34635400000000005, y_min: 0.4895835, x_max: 0.75, y_max: 1.0000005
Error in file: 5726_LDTest__Images_139_0138.txt, line: 1 - x_min: 0.2839285, y_min: -5.000000000005e-07, x_max: 0.4267855, y_max: 0.0979165
Error in file: 59915_PolypsSet__train2019_Image_2332.txt, line: 1 - x_min: 0.36580900000000005, y_min: 0.6763395, x_max: 0.7738970000000001, y_max: 1.0000005
Error in file: 60750_PolypsSet__train2019_Image_24304.txt, line: 1 - x_min: 0.8593755, y_min: 0.5138885, x_max: 1.0000005, y_max: 0.9999994999999999
Error in file: 61259_PolypsSet__train2019_Image_24917.txt, line: 1 - x_min: 0.294118, y_min: 0.4598215, x_max: 0.797794, y_max: 1.0000005
Error in file: 61390_PolypsSet__train2019_Image_25074.txt, line: 1 - x_min: 0.10937450000000004, y_min: 0.36111150000000003, x_max: 0.6223955, y_max: 1.0000005
Error in file: 62545_PolypsSet__train2019_Image_26488.txt, line: 1 - x_min: 0.43229149999999994, y_min: 0.8298615, x_max: 0.8880204999999999, y_max: 1.0000005
Error in file: 63841_PolypsSet__train2019_Image_28021.txt, line: 1 - x_min: 0.028716500000000034, y_min: 0.12715550000000003, x_max: 0.8631755, y_max: 1.0000005
Error in file: 63960_PolypsSet__train2019_Image_28162.txt, line: 1 - x_min: 0.6432289999999999, y_min: 0.7708335, x_max: 0.8854169999999999, y_max: 1.0000005
Error in file: 650_BKAI-IGH_NeoPolyp-Small__images_9424de1556a26c8eba4c1db1a0b47aa6.txt, line: 1 - x_min: 0.40546899999999997, y_min: -5.000000000005e-07, x_max: 0.532813, y_max: 0.0655065
Error in file: 66265_PolypsSet__train2019_Image_5007.txt, line: 1 - x_min: 0.02195999999999998, y_min: 0.12715550000000003, x_max: 0.9881759999999999, y_max: 1.0000005
Error in file: 67123_PolypsSet__train2019_Image_602.txt, line: 1 - x_min: 0.875, y_min: -5.000000000143778e-07, x_max: 1.0, y_max: 0.6666665
Error in file: 671_BKAI-IGH_NeoPolyp-Small__images_9b28f39a546f6eeb0a13b346f09286c9.txt, line: 1 - x_min: 0.508594, y_min: -4.999999999588667e-07, x_max: 0.939844, y_max: 0.6281405
Error in file: 68941_PolypsSet__train2019_Image_8187.txt, line: 1 - x_min: 0.08072950000000001, y_min: -4.999999999866223e-07, x_max: 0.3489585, y_max: 0.45138849999999997
Error in file: 826_BKAI-IGH_NeoPolyp-Small__images_c8c2e5a64a8bd16f2523acfd87d330a5.txt, line: 1 - x_min: 0.5093745, y_min: -5.000000000005e-07, x_max: 0.8023434999999999, y_max: 0.23819050000000003
Error in file: 69434_PolypsSet__train2019_Image_8789.txt, line: 1 - x_min: 0.466216, y_min: 0.7155175, x_max: 0.9070940000000001, y_max: 1.0000005
Error in file: 69702_PolypsSet__train2019_Image_9096.txt, line: 1 - x_min: 0.640625, y_min: 0.8645835, x_max: 0.950521, y_max: 1.0000005
Error in file: 72550_PolypsSet__val2019_Image_2_354.txt, line: 1 - x_min: 0.319257, y_min: 0.5905175, x_max: 0.636825, y_max: 1.0000005
Error in file: 7218_LDTest__Images_105_0058.txt, line: 1 - x_min: 0.7696425, y_min: -5.000000000005e-07, x_max: 0.8892855, y_max: 0.12916650000000002
Error in file: 72403_PolypsSet__val2019_Image_2_181.txt, line: 1 - x_min: 0.7550675, y_min: 0.5797415, x_max: 0.9729725, y_max: 1.0000005
Error in file: 70444_PolypsSet__train2019_Image_9964.txt, line: 1 - x_min: 0.3072915, y_min: -5.000000000143778e-07, x_max: 0.6406244999999999, y_max: 0.4166665
Error in file: 7080_LDTest__Images_104_0125.txt, line: 1 - x_min: -4.999999999866223e-07, y_min: 0.13541650000000002, x_max: 0.29464250000000003, y_max: 0.6083335
Error in file: 7096_LDTest__Images_104_0148.txt, line: 1 - x_min: 0.07678550000000003, y_min: -4.999999999866223e-07, x_max: 0.5053565, y_max: 0.4666665
